No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
601	Chlorine hexoxide	Cl2O6	12442-63-6	166.901	red liq	3.5	200			reac H2O	
602	Chlorine heptoxide	Cl2O7	10294-48-1	182.901	col oily liq; exp	-91.5	82	1.9		reac H2O	
603	Chlorine fluoride	ClF	7790-89-8	54.451	col gas	-155.6	-101.1	2.226 g/L		reac H2O	
604	Chlorine trifluoride	ClF3	7790-91-2	92.448	gas	-76.34	11.75	3.779 g/L		reac H2O	
605	Chlorine trifluoride oxide	ClOF3	30708-80-6	108.447	col liq	-42	29			reac H2O	
606	Chlorine pentafluoride	ClF5	13637-63-3	130.445	col gas	-103	-13.1	5.332 g/L			
607	Chloryl fluoride	ClO2F	13637-83-7	86.45	col gas	-15	-6	3.534 g/L		reac H2O	
608	Chloryl trifluoride	ClO2F3	38680-84-1	124.447	col gas	-81	-22	5.087 g/L		reac H2O	
609	Perchloryl fluoride	ClO3F	7616-94-6	102.449	col gas	-147	-46.75	4.187 g/L			
610	Chlorine perchlorate	ClOClO3	27218-16-2	134.903	unstable liq	-117	25 dec	1.81			
611	Chromium	Cr	7440-47-3	51.996	blue-wh metal; cub	1907	2671	7.15		reac dil acid	
612	Chromium antimonide	CrSb	12053-12-2	173.756	hex cry	1110		7.11			
613	Chromium arsenide	Cr2As	12254-85-2	178.914	tetr cry			7.04			
614	Chromium boride	CrB	12006-79-0	62.807	refrac orth cry	2100		6.1			
615	Chromium boride	CrB2	12007-16-8	73.618	refrac solid; hex	2200		5.22			
616	Chromium boride	Cr5B3	12007-38-4	292.414	tetr cry	1900		6.1			
617	Chromium carbide	Cr3C2	12012-35-0	180.009	gray orth cry	1895		6.68			
618	Chromium carbonyl	Cr(CO)6	13007-92-6	220.056	col orth cry	130 dec	subl	1.77		i H2O, EtOH; s eth, chl	
619	Chromium nitride	Cr2N	12053-27-9	117.999	hex cry	1650		6.8			
620	Chromium nitride	CrN	24094-93-7	66.003	gray cub cry	1080 dec		5.9			
621	Chromium phosphide	CrP	26342-61-0	82.97	orth cry			5.25			
622	Chromium selenide	CrSe	12053-13-3	130.96	hex cry	1500		6.1			
623	Chromium silicide	Cr3Si	12018-36-9	184.074	cub cry	1770		6.4			
624	Chromium silicide	CrSi2	12018-09-6	108.167	gray hex cry	1490		4.91			
625	Chromium(II) acetate monohydrate	Cr(C2H3O2)2  H2O	628-52-4*	188.1	red monocl cry			1.79		sl H2O	
626	Chromium(II) bromide	CrBr2	10049-25-9	211.804	wh monocl cry; aq soln blue	842		4.236		s H2O, EtOH	
627	Chromium(II) chloride	CrCl2	10049-05-5	122.901	hyg needles; aq soln blue	814	1300	2.88		s H2O	
628	Chromium(II) chloride tetrahydrate	Cr(H2O)4Cl2  4H2O	13931-94-7	267.023	blue hyg cry	51 dec				s H2O	
629	Chromium(II) fluoride	CrF2	10049-10-2	89.993	blue-grn monocl cry	894		3.79		sl H2O; i EtOH	
630	Chromium(II) iodide	CrI2	13478-28-9	305.805	red-brn cry; hyg	868		5.1			
631	Chromium(II) oxalate monohydrate	CrC2O4  H2O	814-90-4*	158.03	yel-grn powder			2.468		sl H2O	
632	Chromium(II) sulfate pentahydrate	CrSO4  5H2O	13825-86-0	238.136	blue cry				210	s dil acid; sl EtOH; i ace	
633	Chromium(II,III) oxide	Cr3O4	12018-34-7	219.986	cub cry			6.1			
634	Chromium(III) acetate	Cr(C2H3O2)3	1066-30-4	229.127	bl-grn pwd					sl H2O	
635	Chromium(III) acetate hexahydrate	Cr(C2H3O2)3  6H2O	1066-30-4*	337.22	blue needles					s H2O	
636	Chromium(III) bromide	CrBr3	10031-25-1	291.708	dark grn hex cry	1130		4.68		s hot H2O	
637	Chromium(III) bromide hexahydrate ( )	Cr(H2O)6Br3	10031-25-1*	399.799	viol hyg cry					s H2O; i EtOH, eth	
638	"Chromium(III) bromide hexahydrate (
)"	CrBr3(H2O)4  2H2O	18721-05-6	399.799	grn hyg cry					s H2O, EtOH	
639	Chromium(III) chloride	CrCl3	10025-73-7	158.354	purp hex plates	1152	1300 dec	2.87		sl H2O	
640	Chromium(III) chloride hexahydrate	[CrCl2(H2O)4]Cl  2H2O	10060-12-5	266.445	grn monocl cry; hyg					s H2O, EtOH; sl ace; i eth	
641	Chromium(III) fluoride	CrF3	7788-97-8	108.991	grn needles	1400		3.8		i H2O, EtOH	
642	Chromium(III) fluoride trihydrate	CrF3  3H2O	16671-27-5	163.037	grn hex cry			2.2		sl H2O	
643	Chromium(III) hydroxide trihydrate	Cr(OH)3  3H2O	1308-14-1	157.063	blue-grn powder					i H2O; s acid	
644	Chromium(III) iodide	CrI3	13569-75-0	432.709	dark grn hex cry	500 dec		5.32		sl H2O	
645	Chromium(III) nitrate	Cr(NO3)3	13548-38-4	238.011	grn hyg powder	>60 dec				vs H2O	
											
646	Chromium(III) nitrate nonahydrate	Cr(NO3)3  9H2O	7789-02-8	400.148	grn-blk monocl cry	66.3	>100 dec	1.8		vs H2O	
647	Chromium(III) oxide	Cr2O3	1308-38-9	151.99	grn hex cry	2329	3000	5.22		i H2O, EtOH; sl acid, alk	
648	Chromium(III) 2,4-pentanedioate	Cr(CH3COCHCOCH3)3	21679-31-2	349.32	red monocl cry	208	345	1.34		i H2O; s bz	
649	Chromium(III) phosphate	CrPO4	7789-04-0	146.967	blue orth cry	>1800		4.6		i H2O, acid, aqua regia	
650	Chromium(III) phosphate hemiheptahydrat	CrPO4  3.5H2O	84359-31-9	210.021	blue-grn powder			2.15		i H2O; s acid	
651	Chromium(III) phosphate hexahydrate	CrPO4  6H2O	84359-31-9	255.059	viol cry	>500 dec		2.121		i H2O; s acid, alk	
652	"Chromium(III) potassium sulfate
dodecahydrate"	CrK(SO4)2  12H2O	7788-99-0	499.405	viol-blk cub cry	89 dec		1.83		s H2O; i EtOH	
653	Chromium(III) sulfate	Cr2(SO4)3	10101-53-8	392.183	red-brn hex cry			3.1	6425	vs acid	
654	Chromium(III) sulfide	Cr2S3	12018-22-3	200.19	brn-blk hex cry			3.8			
655	Chromium(III) telluride	Cr2Te3	12053-39-3	486.79	hex cry	1300		7			
656	Chromium(IV) chloride	CrCl4	15597-88-3	193.807	gas, stable at high temp		>600 dec	7.922 g/L			
657	Chromium(IV) fluoride	CrF4	10049-11-3	127.99	grn cry	277					
658	Chromium(IV) oxide	CrO2	12018-01-8	83.995	brn-blk tetr powder	400 dec		4.89		i H2O; s acid	
659	Chromium(V) fluoride	CrF5	14884-42-5	146.988	red orth cry	34	117				
660	Chromium(VI) fluoride	CrF6	13843-28-2	165.986	yel solid; stable at low temp	-100 dec					
661	Chromium(VI) oxide	CrO3	1333-82-0	99.994	red orth cry	197	250 dec	2.7	16925		
662	Chromic acid	H2CrO4	7738-94-5	118.01	aq soln only					s H2O	
663	Chromyl chloride	CrO2Cl2	14977-61-8	154.9	red liq	-96.5	117	1.91		reac H2O; s ctc, chl, bz	
664	Cobalt	Co	7440-48-4	58.933	gray metal; hex or cub	1495	2927	8.86		s dil acid	
665	Cobalt antimonide	CoSb	12052-42-5	180.693	hex cry	1202		8.8			
666	Cobalt arsenic sulfide	CoAsS	12254-82-9	165.921	silv-wh solid			6.1			
667	Cobalt arsenide	CoAs	27016-73-5	133.855	orth cry	1180		8.22			
668	Cobalt arsenide	CoAs2	12044-42-7	208.776	monocl cry			7.2			
669	Cobalt arsenide	CoAs3	12256-04-1	283.698	cub cry	942		6.84			
670	Cobalt boride	Co2B	12045-01-1	128.677	refrac solid	1280		8.1			
671	Cobalt boride	CoB	12006-77-8	69.744	refrac solid	1460		7.25		reac H2O, HNO3	
672	Cobalt carbonyl	Co2(CO)8	10210-68-1	341.947	oran cry	51 dec		1.78		i H2O; s EtOH, eth, CS2	
673	Cobalt phosphide	Co2P	12134-02-0	148.84	gray needles	1386		6.4		i H2O; s HNO3	
674	Cobalt silicide	CoSi2	12017-12-8	115.104	gray cub cry	1326		4.9		s hot HCl	
675	Cobalt disulfide	CoS2	12013-10-4	123.065	cub cry			4.3			
676	Cobalt dodecacarbonyl	Co4(CO)12	17786-31-1	571.854	blk cry	60 dec		2.09			
677	Cobalt(II) acetate	Co(C2H3O2)2	71-48-7	177.022	pink cry					vs H2O; s EtOH	
678	Cobalt(II) acetate tetrahydrate	Co(C2H3O2)2  4H2O	6147-53-1	249.082	red monocl cry			1.705		s H2O, EtOH, dil acid	
679	Cobalt(II) aluminate	CoAl2O4	13820-62-7	176.894	blue cub cry			4.37		i H2O	
680	Cobalt(II) arsenate octahydrate	Co3(AsO4)2  8H2O	24719-19-5	598.76	red monocl needles	400 dec	1000 dec	3		i H2O; s dil acid	
681	Cobalt(II) bromate hexahydrate	Co(BrO3)2  6H2O	13476-01-2	422.829	viol cry			2.5		vs H2O	
682	Cobalt(II) bromide	CoBr2	7789-43-7	218.741	grn hex cry; hyg	678		4.91	113.22	s MeOH, EtOH, ace	
683	Cobalt(II) bromide hexahydrate	CoBr2  6H2O	13762-12-4	326.832	red hyg cry	47 dec	100 dec	2.46	113.2		
684	Cobalt(II) carbonate	CoCO3	513-79-1	118.942	pink rhomb cry			4.2	0.000142	i EtOH	
685	Cobalt(II) chloride	CoCl2	7646-79-9	129.838	blue hyg leaflets	740	1049	3.36	56.225	s EtOH, eth, ace, py	
686	Cobalt(II) chloride dihydrate	CoCl2  2H2O	16544-92-6	165.869	viol-blue cry			2.477	56.225		
687	Cobalt(II) chloride hexahydrate	CoCl2  6H2O	7791-13-1	237.929	pink-red monocl cry	87 dec		1.924	56.225	s EtOH, ace, eth	
688	Cobalt(II) chromate	CoCrO4	24613-38-5	174.927	yel-brn orth cry			4.0		i H2O; s acid	
689	Cobalt(II) chromite	CoCr2O4	13455-25-9	226.923	blue-grn cub cry			5.14		i H2O, conc acid	
690	Cobalt(II) cyanide	Co(CN)2	542-84-7	110.967	blue hyg cry			1.872		i H2O	
691	Cobalt(II) cyanide dihydrate	Co(CN)2  2H2O	20427-11-6	146.998	pink-brn needles					i H2O, acid	
692	Cobalt(II) ferricyanide	Co3[Fe(CN)6]2	14049-81-1	600.699	red needles					i H2O, HCl; s NH4OH	
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
693	Cobalt(II) fluoride	CoF2	10026-17-2	96.93	red tetr cry	1127	1400	4.46	1.425	s acid	
694	Cobalt(II) fluoride tetrahydrate	CoF2  4H2O	13817-37-3	168.992	red orth cry	dec		2.22	1.425		
695	Cobalt(II) formate dihydrate	Co(CHO2)2  2H2O	6424-20-0	184.998	red cry powder	140 dec		2.13	5.032	i EtOH	
696	Cobalt(II) hexafluoro-2,4-pentanedioate	Co(CF3COCHCOCF3)2	19648-83-0	473.035	pow	197					
697	Cobalt(II) hexafluorosilicate hexahydrate	CoSiF6  6H2O	12021-68-0	309.1	pale red cry			2.087	76.822		
698	Cobalt(II) hydroxide	Co(OH)2	21041-93-0	92.948	blue-grn cry	160 dec		3.6		sl H2O; s acid	
699	Cobalt(II) iodate	Co(IO3)2	13455-28-2	408.738	blk-viol needles	200 dec		5.09	0.462		
700	Cobalt(II) iodide	CoI2	15238-00-3	312.742	blk hex cry; hyg	520		5.6	20325		
701	Cobalt(II) iodide hexahydrate	CoI2  6H2O	15238-00-3*	420.833	red hex prisms	130 dec		2.9	20325	s EtOH, eth, ace	
702	Cobalt(II) titanate	CoTiO3	12017-01-5	154.798	grn rhomb cry			5			
703	Cobalt(II) molybdate	CoMoO4	13762-14-6	218.87	blk monocl cry	1040		4.7			
704	Cobalt(II) nitrate	Co(NO3)2	10141-05-6	182.942	pale red powder	100 dec		2.49	10325		
705	Cobalt(II) nitrate hexahydrate	Co(NO3)2  6H2O	10026-22-9	291.034	red monocl cry; hyg	55		1.88	10325	s EtOH	
706	Cobalt(II) oxalate	CoC2O4	814-89-1	146.952	pink powder	250 dec		3.02	0.00372	s acid, NH4OH	
707	Cobalt(II) oxalate dihydrate	CoC2O4  2H2O	5965-38-8	182.982	pink needles	dec			0.0037	sl acid; s NH4OH	
708	Cobalt(II) oxide	CoO	1307-96-6	74.932	gray cub cry	1830		6.44		i H2O; s acid	
709	Cobalt(II) perchlorate	Co(ClO4)2	13455-31-7	257.833	red needles			3.33	11325	i EtOH, ace	
710	Cobalt(II) phosphate octahydrate	Co3(PO4)2  8H2O	10294-50-5	510.865	pink amorp powder			2.77		i H2O; s acid	
711	Cobalt(II) potassium sulfate hexahydrate	CoK2(SO4)2  6H2O	10026-20-7	437.349	red monocl cry	75 dec		2.22		vs H2O	
712	Cobalt(II) selenate pentahydrate	CoSeO4  5H2O	14590-19-3	291.97	red tricl cry	dec		2.51	5515		
713	Cobalt(II) selenide	CoSe	1307-99-9	137.89	yel hex cry	1055		7.65		i H2O, alk; s aqua regia	
714	Cobalt(II) selenite dihydrate	CoSeO3  2H2O	19034-13-0	221.92	blue-red powder					i H2O	
715	Cobalt(II) orthosilicate	Co2SiO4	12017-08-2	209.95	red-viol orth cry	1345		4.63		i H2O; s dil HCl	
716	Cobalt(II) stannate	Co2SnO4	12139-93-4	300.574	grn-blue cub cry			6.3		i H2O; s alk	
717	Cobalt(II) sulfate	CoSO4	10124-43-3	154.997	red orth cry	>700		3.71	38.325		
718	Cobalt(II) sulfate heptahydrate	CoSO4  7H2O	10026-24-1	281.103	pink monocl cry	41 dec		2.03	38.325	sl EtOH, MeOH	
719	Cobalt(II) sulfate monohydrate	CoSO4  H2O	13455-34-0	173.012	red monocl cry			3.08	38.325		
720	Cobalt(II) sulfide	CoS	1317-42-6	90.999	blk amorp powder	1182		5.45		i H2O; s acid	
721	Cobalt(II) telluride	CoTe	12017-13-9	186.53	hex cry			8.8			
722	Cobalt(II) thiocyanate	Co(SCN)2	3017-60-5	175.099	yel-brn pow				10325	s EtOH, MeOH, ace, eth	
723	Cobalt(II) thiocyanate trihydrate	Co(SCN)2  3H2O	97126-35-7	229.145	viol rhomb cry				10325	s EtOH, eth, ace	
724	Cobalt(II) tungstate	CoWO4	12640-47-0	306.77	blue monocl cry			7.8		i H2O; s hot conc acid	
725	Cobalt(II,III) oxide	Co3O4	1308-06-1	240.798	blk cub cry	900 dec		6.11		i H2O; s acid, alk	
726	Cobalt(III) acetate	Co(C2H3O2)3	917-69-1	236.064	grn hyg cry	100 dec				s H2O, EtOH	
727	Cobalt(III) ammonium tetranitrodiammine	NH4[Co(NH3)2(NO2)4]	13600-89-0	295.054	red-brn orth cry			1.97		s H2O	
728	Cobalt(III) fluoride	CoF3	10026-18-3	115.928	brn hex cry	927		3.88		reac H2O	
729	Cobalt(III) hexammine chloride	Co(NH3)6Cl3	10534-89-1	267.474	red monocl cry			1.71		s H2O; i EtOH	
730	Cobalt(III) hydroxide	Co(OH)3	1307-86-4	109.955	brn powder	dec		4		i H2O; s acid	
731	Cobalt(III) nitrate	Co(NO3)3	15520-84-0	244.948	grn cub cry; hyg			3.0		s H2O; reac os	
732	Cobalt(III) oxide	Co2O3	1308-04-9	165.864	gray-blk powder	895 dec		5.18		i H2O; s conc acid	
733	Cobalt(III) oxide monohydrate	Co2O3  H2O	12016-80-7	183.88	brn-blk hex cry	150 dec				i H2O; s acid	
734	Cobalt(III) potassium nitrite sesquihydrate	CoK3(NO2)6  1.5H2O	13782-01-9*	479.284	yel cub cry			2.6		sl H2O; reac acid; i EtOH	
735	Cobalt(III) sulfide	Co2S3	1332-71-4	214.064	blk cub cry			4.8		reac acid	
736	Cobalt(III) titanate	Co2TiO4	12017-38-8	229.731	grn-blk cub cry			5.1		s conc HCl	
737	Copper	Cu	7440-50-8	63.546	red metal; cub	1084.62	2562	8.96		sl dil acid	
											
738	Copper(II) 2,4-pentanedioate	Cu(CH3COCHCOCH3)	13395-16-9	261.762	blue powder	284 dec	subl			sl H2O; s chl	
739	Copper nitride	Cu3N	1308-80-1	204.645	cub cry	300 dec		5.84			
740	Copper(II) 2-ethylhexanoate	Cu(C8H15O2)2	149-11-1	349.953	pow	252 dec					
741	Copper phosphide	CuP2	12019-11-3	125.494	monocl cry	900		4.2			
742	Copper silicide	Cu5Si	12159-07-8	345.816	solid	825					
743	Copper(I) acetate	CuC2H3O2	598-54-9	122.59	col cry	dec	subl			reac H2O	
744	Copper(I) acetylide	Cu2C2	1117-94-8	151.113	red amorp powder; exp						
745	Copper(I) azide	CuN3	14336-80-2	105.566	tetr cry; exp						
746	Copper(I) bromide	CuBr	7787-70-4	143.45	wh cub cry; hyg	497	1345	4.98	0.00122	i ace	
747	Copper(I) chloride	CuCl	7758-89-6	98.999	wh cub cry	430	1400	4.14	0.00472	i EtOH, ace	 
748	Copper(I) cyanide	CuCN	544-92-3	89.564	wh powder or grn orth cry	474	dec	2.9		i H2O, EtOH; s KCN soln	
749	Copper(I) fluoride	CuF	13478-41-6	82.544	cub cry			7.1			
750	Copper(I) hydride	CuH	13517-00-5	64.554	red-brn solid	60 dec					
751	Copper(I) iodide	CuI	7681-65-4	190.45	wh cub cry	606	1290	5.67	0.0000202	i dil acid	
752	Copper(I) mercury iodide	Cu2HgI4	13876-85-2	835.3	red cry powder	trans 60 (brn)				i H2O, EtOH	
753	Copper(I) oxide	Cu2O	1317-39-1	143.091	red-brn cub cry	1235	1800 dec	6		i H2O	
754	Copper(I) selenide	Cu2Se	20405-64-5	206.05	blue-blk tetr cry	1113		6.84		i H2O; s acid	
755	Copper(I) sulfide	Cu2S	22205-45-4	159.158	blue-blk orth cry	1100		5.6		i H2O; sl acid	
756	Copper(I) sulfite monohydrate	Cu2SO3  H2O		225.172	cry			3.83		sl H2O; s HCl	
757	Copper(I) sulfite hemihydrate	Cu2SO3  0.5H2O	13982-53-1*	216.164	wh-yel hex cry					sl H2O; s acid, alk; i EtOH, eth	
758	Copper(I) telluride	Cu2Te	12019-52-2	254.69	blue hex cry	1127		4.6			
759	Copper(I) thiocyanate	CuSCN	1111-67-7	121.63	wh-yel amorp powder	1084		2.85		i H2O, dil acid, EtOH, ace; s eth	
760	Copper(I,II) sulfite dihydrate	Cu2SO3  CuSO3  2H2	13814-81-8	386.797	red prisms or powder					i H2O, EtOH; s HCl	
761	Copper(II) acetate	Cu(C2H3O2)2	142-71-2	181.635	blue-grn hyg powder						
762	Copper(II) acetate metaarsenite	Cu(C2H3O2)2  3Cu(AsO2)2	12002-03-8	1013.795	grn cry powder					i H2O; reac acid	
763	Copper(II) acetate monohydrate	Cu(C2H3O2)2  H2O	6046-93-1	199.65	grn monocl cry	115	240 dec	1.88		s H2O, EtOH; sl eth	
764	Copper(II) acetylide	CuC2	12540-13-5	87.567	brn-blk solid; exp	exp 100					
765	Copper(II) arsenate	Cu3(AsO4)2	10103-61-4	468.476	blue-grn cry					i H2O, EtOH; s dil acid	
766	Copper(II) arsenite	CuHAsO3	10290-12-7	187.474	yel-grn powder					i H2O, EtOH; s acid	
767	Copper(II) azide	Cu(N3)2	14215-30-6	147.586	brn orth cry; exp			2.6			
768	Copper(II) basic acetate	Cu(C2H3O2)2  CuO H2O	52503-64-7	369.271	blue-grn cry or powder					sl H2O, EtOH; s dil acid, NH4OH	
769	Copper(II) borate	Cu(BO2)2	39290-85-2	149.166	blue-grn powder			3.859		i H2O; s acid	
770	Copper(II) bromide	CuBr2	7789-45-9	223.354	blk monocl cry; hyg	498	900	4.71	12625	s EtOH, ace; i bz, eth	
771	Copper(II) butanoate monohydrate	Cu(C4H7O2)2  H2O	540-16-9	255.756	grn monocl plates					s H2O, diox, bz; sl EtOH	
772	Copper(II) carbonate hydroxide	CuCO3  Cu(OH)2	12069-69-1	221.116	grn monocl cry	200 dec		4		i H2O, EtOH; s dil acid	
773	Copper(II) chlorate hexahydrate	Cu(ClO3)2  6H2O	14721-21-2	338.539	blue-grn hyg cry	65	100 dec		16418	vs EtOH	
774	Copper(II) chloride	CuCl2	7447-39-4	134.451	yel-brn monocl cry; hyg	630 dec		3.4	75.725	s EtOH, ace	
775	Copper(II) chloride dihydrate	CuCl2  2H2O	10125-13-0	170.482	grn-blue orth cry; hyg	100 dec		2.51	75.72	vs EtOH, MeOH; s ace; i eth	
776	Copper(II) chloride hydroxide	Cu2(OH)3Cl	1332-65-6	213.567	pale grn cry					i H2O; s acid	
777	Copper(II) chromate	CuCrO4	13548-42-0	179.54	red-brn cry					i H2O; s EtOH	
778	Copper(II) chromite	CuCr2O4	12018-10-9	231.536	gray-blk tetr cry			5.4		i H2O, dil acid	
779	Copper(II) citrate hemipentahydrate	Cu2C6H4O7  2.5H2O	10402-15-0	360.221	blue-grn cry	100 dec				sl H2O; s dil acid	
780	Copper(II) cyanide	Cu(CN)2	14763-77-0	115.58	grn powder					i H2O; s acid, alk	
781	Copper(II) cyclohexanebutanoate	Cu(C10H17O2)2	2218-80-6	402.028	pow	126 dec					
782	Copper(II) dichromate dihydrate	CuCr2O7  2H2O	13675-47-3	315.565	red-brn tricl cry			2.286		vs H2O	
783	Copper(II) ethanolate	Cu(C2H5O)2	2850-65-9	153.667	blue hyg solid	120 dec				i os	
784	Copper(II) ethylacetoacetate	Cu(C2H5CO2CHCOC)2	14284-06-1	321.813	pow	192				s EtOH	
785	Copper(II) ferrocyanide	Cu2Fe(CN)6	13601-13-3	339.041	red-br cub cry or powder			2.2		i H2O, acid, os	
											
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
786	Copper(II) ferrous sulfide	CuFeS2	1308-56-1	183.523	yel tetr cry	950		4.2		i H2O, HCl; s HNO3	
787	Copper(II) fluoride	CuF2	7789-19-7	101.543	wh monocl cry	836	1676	4.23	0.07525		
788	Copper(II) fluoride dihydrate	CuF2  2H2O	13454-88-1	137.574	blue monocl cry	130 dec		2.934	0.07525		
789	Copper(II) formate	Cu(CHO2)2	544-19-4	153.581	blue cry				12.52	i os	
790	Copper(II) formate tetrahydrate	Cu(CHO2)2  4H2O	5893-61-8	225.641	blue monocl cry				12.5	sl EtOH; i os	
791	Copper(II) hexafluoro-2,4-pentanedioate	Cu(CF3COCHCOCF3)2	14781-45-4	477.648	cry	98	220 dec			s MeOH, ace, tol	
792	Copper(II) hexafluorosilicate tetrahydrate	CuSiF6  4H2O	12062-24-7	277.684	blue monocl cry	dec		2.56	99.717	sl EtOH	
793	Copper(II) hydroxide	Cu(OH)2	20427-59-2	97.561	blue-grn powder			3.37		i H2O; s acid, conc alk	
794	Copper(II) iodate	Cu(IO3)2	13454-89-2	413.351	grn mono cry	dec		5.241	0.152	s dil acid	
795	Copper(II) iodate monohydrate	Cu(IO3)2  H2O	13454-90-5	431.367	blue tricl cry	248 dec		4.872	0.152	s dil H 2SO4	
796	Copper(II) molybdate	CuMoO4	13767-34-5	223.48	grn cry	500		3.4	0.038		
797	Copper(II) nitrate	Cu(NO3)2	3251-23-8	187.555	blue-grn orth cry; hyg	255	subl		14525	s diox; reac eth	
798	Copper(II) nitrate hexahydrate	Cu(NO3)2  6H2O	13478-38-1	295.647	blue rhomb cry; hyg			2.07	14525	s EtOH	
799	Copper(II) nitrate trihydrate	Cu(NO3)2  3H2O	10031-43-3	241.602	blue rhomb cry	114	170 dec	2.32	14525	vs EtOH	
800	Copper(II) oleate	Cu(C18H33O2)2	1120-44-1	626.453	blue-grn solid					i H2O; sl EtOH; s eth	
801	Copper(II) oxalate	CuC2O4	814-91-5	151.565	blue-wh powder	310 dec			0.00262	i EtOH, eth; s NH4OH	
802	Copper(II) oxalate hemihydrate	CuC2O4  0.5H2O	814-91-5*	144.573	blue-wh cry	200 dec			0.00262	s NH4OH	
803	Copper(II) oxide	CuO	1317-38-0	79.545	blk powder or monocl cry	1446		6.31		i H2O, EtOH; s dil acid	
804	Copper(II) perchlorate	Cu(ClO4)2	13770-18-8	262.446	grn hyg cry	130 dec			14630	s eth, diox; i bz, ctc	
805	Copper(II) perchlorate hexahydrate	Cu(ClO4)2  6H2O	10294-46-9	370.538	blue monocl cry; hyg	82	120 dec	2.22	14630	vs EtOH, HOAc, ace; sl eth	
806	Copper(II) phosphate	Cu3(PO4)2	7798-23-4	380.581	blue-grn tricl cry					i H2O; s acid, NH4OH	
807	Copper(II) phosphate trihydrate	Cu3(PO4)2  3H2O	10031-48-8	434.627	blue-grn orth cry					i H2O; s acid, NH4OH	
808	Copper(II) selenate pentahydrate	CuSeO4  5H2O	10031-45-5	296.58	blue tricl cry	80 dec		2.56	27.425	s acid, NH4OH; sl ace; i EtOH	
809	Copper(II) selenide	CuSe	1317-41-5	142.51	blue-blk needles or plates	550 dec		5.99		reac acid	
810	Copper(II) selenite dihydrate	CuSeO3  2H2O	15168-20-4	226.54	blue orth cry			3.31		i H2O; s acid, NH4OH	
811	Copper(II) stearate	Cu(C18H35O2)2	660-60-6	630.485	blue-grn amorp powder	250				i H2O, EtOH, eth; s py	
812	Copper(II) sulfate	CuSO4	7758-98-7	159.61	"wh-grn amorp powder or rhomb
cry"	560 dec		3.6	22.025	i EtOH	
813	Copper(II) sulfate pentahydrate	CuSO4  5H2O	7758-99-8	249.686	blue tricl cry	110 dec		2.286	22.025	s MeOH; sl EtOH	
814	Copper(II) sulfate, basic	Cu3(OH)4SO4	1332-14-5	354.731	grn rhomb cry			3.88		i H2O	
815	Copper(II) sulfide	CuS	1317-40-4	95.612	blk hex cry	trans 507		4.76		i H2O, EtOH, dil acid, alk	
816	Copper(II) tartrate trihydrate	CuC4H4O6  3H2O	815-82-7	265.663	blue-grn powder					sl H2O; s acid, alk	
817	Copper(II) telluride	CuTe	12019-23-7	191.15	yel orth cry	trans 400		7.09			
818	Copper(II) tetrafluoroborate	Cu(BF4)2	14735-84-3	237.155	solid					s H2O	
819	Copper(II) tungstate	CuWO4	13587-35-4	311.38	yel-brn powder			7.5			
820	Copper(II) tungstate dihydrate	CuWO4  2H2O	13587-35-4*	347.41	grn powder					i H2O; sl HOAc; reac conc acid	
821	Copper(II) vanadate	Cu(VO3)2	12789-09-2	261.425	pow						
822	Curium	Cm	7440-51-9	247	silv metal; hex or cub	1345	3100	13.51			
823	Dysprosium	Dy	7429-91-6	162.5	silv metal; hex	1412	2567	8.55		s dil acid	
824	Dysprosium boride	DyB4	12310-43-9	205.74	tetr cry	2500		6.98			
825	Dysprosium nitride	DyN	12019-88-4	176.51	cub cry			9.93			
826	Dysprosium silicide	DySi2	12133-07-2	218.67	orth cry			5.2			
827	Dysprosium(II) chloride	DyCl2	13767-31-2	233.41	blk cry	721 dec				reac H2O	
828	Dysprosium(II) iodide	DyI2	36377-94-3	416.31	purp cry	659				reac H2O	
829	Dysprosium(III) bromide	DyBr3	14456-48-5	402.21	wh hyg cry	879				s H2O	
830	Dysprosium(III) chloride	DyCl3	10025-74-8	268.86	yel cry	680		3.67		s H2O	
											
831	Dysprosium(III) fluoride	DyF3	13569-80-7	219.5	grn cry	1154					
832	Dysprosium(III) hydride	DyH3	13537-09-2	165.52	hex cry			7.1			
833	Dysprosium(III) iodide	DyI3	15474-63-2	543.21	grn cry	978					
834	Dysprosium(III) nitrate pentahydrate	Dy(NO3)3  5H2O	10143-38-1*	438.59	yel cry	88.6			208.425		
835	Dysprosium(III) oxide	Dy2O3	1308-87-8	373	wh cub cry	2228	3900	7.81		s acid	
836	Dysprosium(III) sulfide	Dy2S3	12133-10-7	421.2	red-brn monocl cry			6.08			
837	Einsteinium	Es	7429-92-7	252	metal; cub	860					
838	Erbium	Er	7440-52-0	167.26	silv metal; hex	1529	2868	9.07		i H2O; s acid	
839	Erbium boride	ErB4	12310-44-0	210.5	tetr cry	2450		7			
